title,overview,vote_count,original_language,release_date,popularity,vote_average
Locked Down,"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.",151,en,2021-02-25,Locked Down,5.4
Hard Target,"When a woman's father goes missing, she enlists a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",823,en,1993-08-20,Hard Target,6.3
A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",3870,en,1984-11-09,A Nightmare on Elm Street,7.3
Barbie in A Mermaid Tale 2,"Surf's up for Barbie as she returns as Merliah, the fun and fashionable surfing champion who's also a magical mermaid princess! In this exciting sea-quel, Merliah makes a splash when she heads to Australia for the ultimate surfing competition. When the evil mermaid Eris escapes from her whirlpool with plans to take over the throne of Oceana, Merliah and her sea friends dive in to stop her. It's a fresh new adventure where Merliah learns that anything is possible and she really can have the best of both worlds!",344,en,2012-02-22,Barbie in A Mermaid Tale 2,7.0
The Guide to the Perfect Family,"A couple in Québec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.",81,fr,2021-07-14,The Guide to the Perfect Family,6.5
Dawn of the Dead,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.",3053,en,2004-03-19,Dawn of the Dead,7.0
All About Sex,"Three friends in their mid-20s struggle to navigate their professional and personal lives, colliding head on with the messy, hilarious and dreadful growing pangs of adulthood.",3,en,2021-09-16,All About Sex,7.3
Curve,A young woman becomes trapped in her car after a hitchhiker causes her to have an automobile accident.,309,en,2015-08-31,Curve,5.8
Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,11157,en,2005-05-17,Star Wars: Episode III - Revenge of the Sith,7.4
Eiffel,"The government is asking Eiffel to design something spectacular for the 1889 Paris World Fair, but Eiffel simply wants to design the subway. Suddenly, everything changes when Eiffel crosses paths with a mysterious woman from his past.",241,fr,2021-10-07,Eiffel,6.3
Blood Money,"In South Africa, a young man living with his wife becomes embroiled in an illegal diamond business and with time finds his life changing.",7,hi,2012-03-31,Blood Money,6.1
Barbie: The Princess & The Popstar,"Tori is a blonde princess who is bored of living her royal life, and has dreams of becoming a popstar. Keira, on the other hand, is a brunette popstar who dreams of being a princess. When the two meet, they magically trade places, but after realising it is best to be themselves.",468,en,2012-09-13,Barbie: The Princess & The Popstar,7.1
Triple Threat,"A crime syndicate places a hit on a billionaire's daughter, making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her, fighting tooth and nail to stop the assassins from reaching their target.",460,en,2019-03-19,Triple Threat,6.4
Tears of the Sun,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",1727,en,2003-03-07,Tears of the Sun,6.8
Dune,"In the year 10,191, the world is at war for control of the desert planet Arrakis—the only place where the space-travel substance Melange 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.",2120,en,1984-12-14,Dune,6.2
Horrible Bosses,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",5350,en,2011-07-08,Horrible Bosses,6.6
Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",3703,en,2019-03-27,Dumbo,6.7
Avengers Grimm,"When Rumpelstiltskin destroys the Magic Mirror and escapes to the modern world, the four princesses of ""Once Upon a Time""-Cinderella, Sleeping Beauty, Snow White, and Rapunzel-are sucked through the portal too. Well-trained and endowed with magical powers, the four women must fight Rumpelstiltskin and his army of thralls before he enslaves everyone on Earth.",89,en,2015-03-17,Avengers Grimm,4.2
Leprechaun,"A horrific Leprechaun goes on a rampage after his precious bag of gold coins is stolen. He uses all of his magical destructive powers to trick, terrorize and kill anyone who is unlucky enough to hinder his relentless search. In a frantic attempt to survive the wrath of the Leprechaun, Tori and her friends scramble to find the only weapon known to kill this Irish monster...a four-leaf clover.",543,en,1993-01-08,Leprechaun,5.6
The Prince of Egypt,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",3097,en,1998-12-16,The Prince of Egypt,7.2
Xtreme,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",188,es,2021-06-04,Xtreme,6.6
Jason Goes to Hell: The Final Friday,"Jason Voorhees, the living, breathing essence of evil, is back for one fierce, final fling! Tracked down and blown to bits by a special FBI task force, everyone now assumes that he's finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere, or anybody. In this shocking, blood-soaked finale to Jason's carnage-ridden reign of terror, the horrible secret of his unstoppable killing instinct is finally revealed. And once you know the chilling facts, you'll see him in your nightmares! And he'll see you in hell!",688,en,1993-08-13,Jason Goes to Hell: The Final Friday,4.5
Barbie and the Three Musketeers,"Corinne (Barbie) is a young country girl who heads to Paris to pursue her big dream – to become a female musketeer! Never could she imagine she would meet three other girls who secretly share the same dream! Using their special talents, the girls work together as a team to foil a plot and save the prince. It's all for one and one for all!",525,en,2009-09-15,Barbie and the Three Musketeers,7.2
We're the Millers,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,7375,en,2013-08-07,We're the Millers,6.8
Source Code,"When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",6743,en,2011-03-30,Source Code,7.3
Hunter x Hunter: The Last Mission,"Isaac Netero is the chairman of the Hunter Association. Decades ago he sealed away Jed, a Hunter who had mastered the use of On, the dark ""shadow"" of Nen. Now On users have reappeared at the Heaven's Arena ""Battle Olympia"" tournament. For Netero, this is the last mission: to protect the Association and the world from a threat driven by hatred and the thirst for revenge. And he's going to need all the help he can get in order to succeed.",121,ja,2013-12-27,Hunter x Hunter: The Last Mission,7.1
Lawless,"Set in the Depression-era Franklin County, Virginia, a bootlegging gang is threatened by authorities who want a cut of their profits.",2518,en,2012-08-29,Lawless,7.0
Journey to the Center of the Earth,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",3958,en,2008-07-10,Journey to the Center of the Earth,6.0
Halloween,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",4087,en,1978-10-24,Halloween,7.6
Tower Heist,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",2379,en,2011-11-02,Tower Heist,6.0
Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,10683,en,1990-12-05,Edward Scissorhands,7.7
Rocky Balboa,"When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder, Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior.",2678,en,2006-12-20,Rocky Balboa,6.8
Godzilla: The Planet Eater,"With no means for defeating Godzilla Earth, mankind watches as King Ghidorah, clad in a golden light, descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.",218,ja,2018-11-03,Godzilla: The Planet Eater,6.5
Kick-Ass 2,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",5169,en,2013-07-17,Kick-Ass 2,6.4
G.I. Joe: Retaliation,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",4789,en,2013-03-27,G.I. Joe: Retaliation,5.6
Sex Doll,"Set in London's world of high class call girls, Amoureux Solitaires tells the story of London based French escort Virginie, and Rupert, a man who rescues trafficked girls.",102,fr,2016-12-07,Sex Doll,5.5
Justice League: War,"The world is under attack by an alien armada led by the powerful Apokoliptian, Darkseid. A group of superheroes consisting of Superman, Batman, Wonder Woman, The Flash, Green Lantern, Cyborg, and Shazam must set aside their differences and gather together to defend Earth.",806,en,2014-02-02,Justice League: War,7.6
Tangled Ever After,"The kingdom is in a festive mood as everyone gathers for the royal wedding of Rapunzel and Flynn. However, when Pascal and Maximus, as flower chameleon and ring bearer, respectively, lose the gold bands, a frenzied search and recovery mission gets underway. As the desperate duo tries to find the rings before anyone discovers that they’re missing, they leave behind a trail of comical chaos that includes flying lanterns, a flock of doves, a wine barrel barricade and a very sticky finale. Will Maximus and Pascal save the day and make it to the church in time? And will they ever get Flynn’s nose right?",868,en,2012-01-13,Tangled Ever After,7.1
Below Her Mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,941,en,2017-02-10,Below Her Mouth,6.8
Animal Crackers,A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.,138,en,2017-06-23,Animal Crackers,6.3
The Amityville Horror,"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz clan, whose new home has a gory past and a legacy of demons. Before long, the family patriarch is plagued by nightmares and his daughter is seeing phantoms.",1738,en,2005-04-14,The Amityville Horror,6.1
Space Jam,"Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon: they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.",4966,en,1996-11-15,Space Jam,6.9
Silent Hill,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself.",3314,en,2006-04-21,Silent Hill,6.5
Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",10752,en,2002-05-15,Star Wars: Episode II - Attack of the Clones,6.5
Heks,"A grieving British girl unravels her murdered mother's secrets connected to a South African witch doctor's curse. She wants to put an end to this haunting hex by traveling to South Africa, but instead it casts her deeper into sinister depths.",26,en,2020-12-15,Heks,6.3
His House,"After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface.",745,en,2020-01-27,His House,6.5
The Ring Two,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,1840,en,2005-03-17,The Ring Two,5.7
The Princess Diaries,"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.",4050,en,2001-08-03,The Princess Diaries,6.9
You Don't Mess with the Zohan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,2991,en,2008-06-05,You Don't Mess with the Zohan,5.7
"Salò, or the 120 Days of Sodom","Four corrupted fascist libertines round up 9 teenage boys and girls and subject them to 120 days of sadistic physical, mental and sexual torture.",1405,it,1975-11-22,"Salò, or the 120 Days of Sodom",6.5
Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,5284,en,2014-03-07,Noah,5.6
El paseo,"The Peinado family intends to spend the more great holidays arranged by the father and husband Alex Peinado. The family also make Hortensia, mother and wife, Milena Peinado, daughter, Octavio ""Ramayán"" Peinado and Carmelita, the nagging mother-in-law of the family.  The family travels excited hoping to reach its destination but several unlucky trucan a great plan that Alex has a time for family arrived at their destination. The family accidentally gets into several difficulties which gradually give a beautiful lesson to them and despite the problems the family arrives at their parent duty station; Cartagena.",26,es,2010-12-25,El paseo,6.6
Z-O-M-B-I-E-S,"Two star-crossed freshmen – a zombie, Zed and a cheerleader, Addison – each outsiders in their unique ways, befriend each other and work together to show their high school and the Seabrook community what they can achieve when they embrace their differences.",487,en,2018-02-16,Z-O-M-B-I-E-S,7.5
Barb & Star Go to Vista Del Mar,"The story of best friends Barb and Star, who leave their small midwestern town for the first time to go on vacation in Vista Del Mar, Florida, where they soon find themselves tangled up in adventure, love, and a villain’s evil plot to kill everyone in town.",128,en,2021-03-29,Barb & Star Go to Vista Del Mar,5.8
TEKKEN: Kazuya's Revenge,"A young man, Kazuya Mishima, wakes up alone in an unfamiliar hotel room without any recollection of who he is or how he got there. He is tormented by flashes of his past and by the face of an ominous stranger. The next thing he knows, Kazuya is ambushed and kidnapped by an underground crime organization and, soon after, turned into a ruthless assassin.  During a mission to assassinate a man named Brian Fury, Kazuya finds that his target harbors clues to his true identity. With the help of Fury and a female assassin, Kazuya follows the clues, leading him to the lab of his reoccurring flashbacks. Here, he will finally confront his past and the ominous man of his nightmares - Heihachi Mishima, face the ultimate betrayal, and Ieam the truth about who, and what, he really is.  TEKKEN 2: KAZUYA’S REVENGE is non-stop action from the first scene to the last.",66,en,2014-08-12,TEKKEN: Kazuya's Revenge,4.1
A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.",53,id,2021-07-15,A Perfect Fit,7.3
The Divine Fury,"After waking up with mysterious wounds on his hands, a champion fighter finds himself in an otherworldly battle against evil forces that wreak havoc in the human world.",184,ko,2019-07-31,The Divine Fury,6.8
Free Willy,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",1428,en,1993-07-16,Free Willy,6.2
Life of Pi,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",11375,en,2012-11-20,Life of Pi,7.4
Escape Plan 2: Hades,"Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, Ray must track him down with the help of some of his former friends.",1115,en,2018-06-05,Escape Plan 2: Hades,5.1
Young & Beautiful,"Isabelle, a 17-year-old student, loses her virginity during a quick holiday romance. When she returns home, she begins a secret life as a prostitute for a year.",967,fr,2013-08-21,Young & Beautiful,6.4
Sherlock Holmes,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,12008,en,2009-01-01,Sherlock Holmes,7.2
Indiana Jones and the Last Crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",7971,en,1989-05-24,Indiana Jones and the Last Crusade,7.8
Basic Instinct,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,2878,en,1992-03-20,Basic Instinct,6.9
Home Alone 3,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back.",2396,en,1997-12-12,Home Alone 3,5.3
Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",4890,en,1995-05-19,Die Hard: With a Vengeance,7.2
Underdogs,"In the small village where Amadeo lives there is no one good enough to challenge his skills at Table Football. But, while Amadeo may be a genius as a table football player in real life he's a loser. He's in love with Lara, his childhood friend, but he's so shy that he can't bring himself to confess his love for her. So he just hangs out in his quaint, timeless village. When Amadeo beats the village bully Flash at Table Football. The scene is set for an epic rivalry. Consumed with anger Flash vows to get even and 10 years later he returns as an International Superstar, a Football Icon and Galatico determined to wreak his revenge.",338,es,2013-07-18,Underdogs,6.5
Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,5343,en,1995-12-15,Heat,7.9
The Game Plan,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",1598,en,2007-09-28,The Game Plan,6.4
Don't Kill It,"Demon hunter, Jebediah Huntley teams up with an FBI agent to battle a supernatural force in the southern state of Mississippi.",160,en,2016-08-27,Don't Kill It,6.2
Parasyte: Part 1,"Alien pods come to Earth and, naturally, start taking over Human Hosts. One such pod only manages to take over one human's, Shin Izumi, right arm. Together they grow and co-exist, all the while the other aliens are making meals of other humans; Shin feels he must put a stop to it all, but his alien, Migi, doesn't see why.",175,ja,2014-11-29,Parasyte: Part 1,7.1
The Good Doctor,"Dr. Martin Blake, who has spent his life looking for respect, meets an 18-year-old patient named Diane, suffering from a kidney infection, and gets a much-needed boost of self-esteem. However, when her health starts improving, Martin fears losing her, so he begins tampering with her treatment, keeping Diane sick and in the hospital right next to him.",185,en,2011-04-23,The Good Doctor,6.2
The Secret of the Magic Gourd,"The Secret of the Magic Gourd follows the wondrous adventures of a young schoolboy named Wang Bao. When Wang Bao discovers a magical gourd that can instantly grant his every wish, the awkward child suddenly becomes a hero amongst his curious classmates. When the gourd proves more of a burden than a blessing and the boy decides to get rid of it, he quickly discovers that's easier said than done.",85,zh,2007-06-29,The Secret of the Magic Gourd,7.3
Scooby-Doo 2: Monsters Unleashed,"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes?",2167,en,2004-03-24,Scooby-Doo 2: Monsters Unleashed,6.0
The Perks of Being a Wallflower,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",8768,en,2012-09-20,The Perks of Being a Wallflower,7.8
Pocahontas II: Journey to a New World,"When news of John Smith's death reaches America, Pocahontas is devastated. She sets off to London with John Rolfe, to meet with the King of England on a diplomatic mission: to create peace and respect between the two great lands. However, Governor Ratcliffe is still around; he wants to return to Jamestown and take over. He will stop at nothing to discredit the young princess.",1128,en,1998-08-04,Pocahontas II: Journey to a New World,5.4
Wind River,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,4044,en,2017-08-03,Wind River,7.4
Ben-Hur,"In 25 AD,Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...",2026,en,1959-11-18,Ben-Hur,7.8
Predator 2,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,2281,en,1990-11-20,Predator 2,6.2
Meet the Spartans,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",1288,en,2008-01-24,Meet the Spartans,4.0
The Owners,"A group of friends think they found the perfect easy score - an empty house with a safe full of cash. But when the elderly couple that lives there comes home early, the tables are suddenly turned. As a deadly game of cat and mouse ensues, the would-be thieves must fight to save themselves from a nightmare they could never have imagined.",230,en,2020-08-27,The Owners,5.8
The Boy Who Harnessed the Wind,"Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",1211,en,2019-03-01,The Boy Who Harnessed the Wind,7.9
461 Days of Bento: A Promise Between Father and Son,"Kazuki Suzumoto is divorced and he lives with his 15-year-old son Kouki. Kouki is in a susceptible time. The father feels guilty about his son. Kouki then fails his high school entrance exam. In the spring of the following year, Kouki barely passes his high school entrance exam. Kouki mentions to Kazuki that he likes his father's lunch box. The father and son make a promise to each other. Kazuki promises that he will make a lunch box everyday for Kouki. Kouki promises that he will never skip school.",2,ja,2020-11-06,461 Days of Bento: A Promise Between Father and Son,5.0
Cast Away,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",9218,en,2000-12-22,Cast Away,7.7
The Darkest Minds,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",2220,en,2018-07-25,The Darkest Minds,7.0
Castle Freak,"After she’s permanently blinded in a tragic car accident, Rebecca receives some bizarre news: her long-lost mother has recently passed away, leaving her their family’s ancestral castle in rural Albania. Traveling to the estate with a group of friends, Rebecca hopes it will be an opportunity for her to reconnect with a past she never knew and a mother who seemingly left her behind. When mysterious events begin to occur and her friends begin to die, Rebecca must unravel the secrets of her family’s history before she too falls prey to the Castle Freak.",35,en,2020-12-04,Castle Freak,5.0
Dragon Blade,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds.",440,zh,2015-02-19,Dragon Blade,6.3
About Time,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",6746,en,2013-09-04,About Time,7.9
Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",5936,en,2004-12-09,Ocean's Twelve,6.6
Murder on the Orient Express,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,8119,en,2017-11-03,Murder on the Orient Express,6.7
Station Destiny,"A twenty-three-year-old and a gunman named Ulan, trying to escape from the police, runs into the carriage, where he falls in love with a beautiful girl named Gulnaz.  Gulnaz turns out to be an incredibly gentle and interesting girl, whom Ulan has been looking for all his life. Gulnaz and Ulan do not suspect that fate has prepared them incredible trials and adventures. You must accept the challenge of incredibly difficult circumstances in order to maintain your love.",0,ru,2018-01-24,Station Destiny,0.0
American Made,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.",3539,en,2017-08-18,American Made,6.8
V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",11980,en,2006-02-23,V for Vendetta,7.9
Lone Survivor,"Four Navy SEALs on a covert mission to neutralize a high-level Taliban operative must make an impossible moral decision in the mountains of Afghanistan that leads them into an enemy ambush. As they confront unthinkable odds, the SEALs must find reserves of strength and resilience to fight to the finish.",3412,en,2013-12-24,Lone Survivor,7.4
Lovelace,"Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.",541,en,2013-08-08,Lovelace,6.0
Rush Hour 3,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?",2406,en,2007-08-08,Rush Hour 3,6.4
Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",8901,en,1989-06-02,Dead Poets Society,8.3
Camp Cool Kids,"Encouraged by his quirky grandfather, a young boy faces his fears at summer camp.",28,en,2017-07-11,Camp Cool Kids,5.7
Thor: Love and Thunder,The fourth installment of the Marvel Studios' Thor movie series.,0,en,2022-07-07,Thor: Love and Thunder,0.0
AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",3410,en,2004-08-12,AVP: Alien vs. Predator,5.9
Oz the Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",5847,en,2013-03-07,Oz the Great and Powerful,5.9
The Lego Movie 2: The Second Part,"It's been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild.",1628,en,2019-01-26,The Lego Movie 2: The Second Part,6.7
Trick 'r Treat,"Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank, and a bitter old recluse receives an uninvited guest.",1323,en,2007-10-26,Trick 'r Treat,6.9
Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",14331,en,2003-10-10,Kill Bill: Vol. 1,8.0
The Intruder,"Inés works as a dubbing actress and sings in a choir in Buenos Aires. While on an idyllic trip she suffers a traumatic episode that she can’t recover from. She has trouble sleeping and experiences very vivid nightmares as strange sounds begin to emerge from inside her. Awake, Inés feels suddenly surrounded by people that seem to come from her dreams.",13,es,2021-07-30,The Intruder,5.3
Kizumonogatari Part 2: Nekketsu,"Koyomi Araragi was turned into a vampire by the legendary vampire, Kiss-shot Acerola-orion Heart-under-blade, and he needs to revive the weakened vampire back to her complete form to return to being human again. The only way for Koyomi to achieve his goal is to fight the three vampire hunters – Dramaturgy, Episode and Guillotinecutter.",130,ja,2016-08-19,Kizumonogatari Part 2: Nekketsu,8.1
